frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
41,5,bus,0.6527,1,370,508,1061,2.236
41,21,person,0.3652,1457,190,1487,268,0.791
42,1,bus,0.9039,1475,210,1823,799,2.658
42,2,car,0.6941,460,162,530,247,0.25
42,3,car,0.7494,488,133,551,178,0.25
42,6,car,0.5611,626,125,705,189,0.25
42,7,bus,0.7584,386,97,477,180,0.25
42,9,bus,0.6298,265,100,379,209,2.016
42,5,bus,0.6159,0,364,511,1064,2.016
42,21,person,0.3586,1457,190,1487,267,0.559
43,1,bus,0.912,1477,213,1824,802,2.236
43,2,car,0.6777,460,162,530,247,0.25
43,3,car,0.7468,489,133,552,178,0.0
43,6,car,0.5464,626,125,705,189,0.0
43,7,bus,0.7088,386,97,477,180,0.25
43,9,bus,0.5493,261,100,375,208,3.01
43,5,bus,0.7286,0,362,512,1063,1.904
43,21,person,0.3633,1456,189,1487,267,0.559
44,1,bus,0.9021,1480,219,1826,807,3.021
44,2,car,0.6355,460,162,530,247,0.25
44,3,car,0.7367,488,133,551,178,0.25
44,6,car,0.4917,626,125,705,188,0.25
44,7,bus,0.7622,385,97,476,180,0.0
44,9,bus,0.6018,263,100,376,206,2.016
44,5,bus,0.7901,0,360,513,1064,1.458
44,21,person,0.4345,1455,189,1486,266,0.559
45,1,bus,0.905,1480,222,1826,812,3.64
45,2,car,0.6248,459,162,529,247,0.354
45,3,car,0.739,488,133,551,178,0.25
45,6,car,0.4677,626,125,705,188,0.25
45,7,bus,0.698,385,97,476,180,0.25
45,9,bus,0.5582,262,101,375,207,1.25
45,5,bus,0.7265,0,358,514,1063,1.458
45,21,person,0.4417,1455,189,1486,267,0.559
46,1,bus,0.9155,1481,224,1828,816,4.191
46,2,car,0.6071,459,161,529,246,0.354
46,3,car,0.7209,488,133,551,178,0.0
46,6,car,0.4605,627,126,705,189,0.25
46,7,bus,0.7097,385,97,475,179,0.25
46,9,bus,0.6189,260,101,373,206,1.521
46,5,bus,0.823,0,356,515,1063,1.346
46,21,person,0.4613,1455,189,1485,267,0.5
47,1,bus,0.9189,1483,227,1831,822,4.596
47,2,car,0.6392,458,161,529,247,0.5
47,3,car,0.7122,488,132,552,178,0.0
47,6,car,0.4538,627,126,705,188,0.25
47,7,bus,0.6726,385,97,475,179,0.25
47,9,bus,0.5658,259,102,370,203,1.118
47,5,bus,0.8468,0,353,517,1063,1.118
47,21,person,0.4555,1455,189,1485,266,0.354
47,4,truck,0.2523,1080,28,1169,141,0.105
